"จังหวัด","โรคสมองเสื่อม","ติดแอลกอฮอล์","ติดยาบ้า (Amphetamine)","ติดสารเสพติดอื่นๆ","โรคจิตเภท","โรคจิตอื่นๆ","โรคอารมณ์สองขั้ว","โรคชึมเศร้า","โรควิตกกังวล","ความบกพร่องทางสติปัญญา","ความบกพร่องทางการเรียนรู้","โรคออทิสติก","โรคสมาธิสั้น","พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง)","ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป)","ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี)","โรคทางจิตเวชอื่นๆ","โรคลมชัก","รวม"
"หนองคาย","108","289","468","229","724","240","41","2,630","1,365","66","37","105","191","106","3","0","889","480","7,971"
"มหาสารคาม","619","23,338","1,911","22,773","2,857","1,770","272","3,419","2,653","279","140","205","572","131","12","11","2,498","2,085","65,545"
"ร้อยเอ็ด","294","3,814","1,981","5,188","4,642","1,559","137","3,789","3,368","433","432","193","919","239","2","6","2,994","1,579","31,569"
"กาฬสินธุ์","318","1,043","1,794","889","3,851","2,428","169","3,349","4,199","215","197","120","437","157","3","8","3,461","1,464","24,102"
"สกลนคร","469","28,733","1,220","30,734","3,448","793","169","5,270","3,480","370","163","199","576","252","1","259","3,156","1,942","81,234"
"นครพนม","94","271","222","104","1,485","297","63","2,373","3,221","66","32","48","112","163","0","7","942","413","9,913"
"มุกดาหาร","64","267","611","216","979","540","13","2,863","1,571","67","100","51","218","59","0","5","563","285","8,472"
"เชียงใหม่","663","2,855","2,749","3,034","3,092","936","480","10,935","4,436","828","1,785","1,136","3,370","542","2","24","6,613","2,678","46,158"
"ลำพูน","501","1,192","1,527","844","1,605","338","174","4,023","2,289","264","1,045","168","916","166","0","4","3,004","1,402","19,462"
"ลำปาง","531","1,207","1,366","427","2,057","711","44","3,811","4,129","639","1,337","412","2,353","166","2","2","3,081","2,007","24,282"
"อุตรดิตถ์","130","437","667","638","909","189","22","1,583","797","92","139","106","764","87","0","1","1,728","612","8,901"
"แพร่","59","361","267","440","790","112","13","2,123","829","47","82","96","112","131","0","0","1,021","322","6,805"
"น่าน","289","2,315","1,328","2,095","1,221","440","298","2,181","2,971","326","113","214","1,654","144","1","2","2,486","1,403","19,481"
"พะเยา","152","1,634","987","7,990","1,107","403","94","3,414","1,502","127","191","200","285","247","1","3","2,526","697","21,560"
"เชียงราย","228","1,114","1,061","2,612","2,204","431","86","6,636","2,471","187","143","211","517","489","0","0","3,580","1,380","23,350"
"แม่ฮ่องสอน","77","440","66","150","528","123","23","1,570","952","76","60","89","228","76","0","1","1,207","556","6,222"
"นครสวรรค์","354","903","610","851","2,086","724","111","5,407","2,731","150","48","44","129","376","1","3","4,053","1,078","19,659"
"อุทัยธานี","132","1,161","211","1,159","458","331","17","1,657","698","58","10","13","56","137","0","0","2,186","431","8,715"
"กำแพงเพชร","165","1,059","645","2,383","1,068","438","69","2,603","1,579","102","230","58","332","277","0","1","3,602","1,200","15,811"
"ตาก","318","1,634","634","1,507","1,845","498","82","2,509","2,146","197","545","195","730","286","1","0","1,897","1,745","16,769"
"สุโขทัย","81","624","482","489","891","160","20","3,030","735","73","53","26","47","180","0","0","1,275","369","8,535"
"พิษณุโลก","103","1,327","306","4,619","746","182","14","4,233","706","78","32","28","51","285","0","1","1,773","456","14,940"
"พิจิตร","409","468","168","183","1,244","420","74","2,365","1,278","126","201","50","190","128","0","2","3,765","700","11,771"
"เพชรบูรณ์","272","930","1,146","1,044","2,133","888","100","3,857","2,055","354","366","162","518","261","0","4","3,828","1,135","19,053"
"ราชบุรี","297","443","1,050","474","1,318","497","166","2,995","1,637","120","162","85","429","269","1","0","3,141","1,070","14,154"
"กาญจนบุรี","92","1,680","393","7,400","687","162","18","2,513","545","64","53","59","212","431","0","1","2,132","680","17,122"
"สุพรรณบุรี","155","199","357","1,296","774","183","25","3,650","711","61","38","47","159","410","0","2","2,133","530","10,730"
"นครปฐม","480","316","435","797","1,453","499","230","2,916","1,710","272","176","220","814","311","2","13","3,428","1,243","15,315"
"สมุทรสาคร","411","355","167","189","884","341","136","1,913","1,318","282","511","262","1,111","99","1","31","1,962","739","10,712"
"สมุทรสงคราม","26","10","5","16","143","13","11","500","437","21","11","26","42","55","0","1","873","27","2,217"
"เพชรบุรี","187","145","646","268","1,079","183","119","1,915","1,036","140","121","143","783","193","0","0","2,152","826","9,936"
"ประจวบคีรีขันธ์","315","437","912","562","1,601","301","191","2,131","1,636","318","199","216","742","179","2","1","1,718","1,233","12,694"
"นครศรีธรรมราช","314","495","1,630","1,898","2,687","890","110","5,529","4,206","194","375","168","730","399","1","2","5,631","1,474","26,733"
"กระบี่","110","119","348","445","1,452","615","156","1,579","1,405","267","218","280","706","93","0","0","915","962","9,670"
"พังงา","42","159","333","264","650","159","36","1,627","548","25","13","12","35","87","0","0","626","259","4,875"
"ภูเก็ต","216","162","126","347","616","228","114","1,336","869","140","120","300","638","82","2","2","967","719","6,984"
"สุราษฎร์ธานี","476","647","882","1,445","1,757","533","144","4,467","3,265","468","648","477","1,846","441","0","6","3,579","2,210","23,291"
"ระนอง","68","125","214","148","423","147","44","946","514","47","5","54","143","70","0","0","1,064","365","4,377"
"ชุมพร","155","258","612","552","1,066","368","141","1,468","1,337","202","75","166","601","92","0","1","1,446","847","9,387"
"สงขลา","678","1,013","1,799","20,750","3,124","1,690","568","5,789","5,903","472","906","285","1,882","559","1","3","5,833","2,448","53,703"
"สตูล","62","66","124","966","689","266","83","1,462","1,304","51","70","34","164","92","0","0","1,025","419","6,877"
"ตรัง","21","21","49","298","416","90","8","3,364","385","12","10","9","36","266","0","0","512","142","5,639"
"พัทลุง","241","311","465","614","1,370","595","411","2,718","3,057","71","90","80","301","115","1","1","3,114","939","14,494"
"ปัตตานี","114","105","255","3,016","1,378","224","115","2,301","1,604","95","66","61","156","66","0","0","1,148","455","11,159"
"ยะลา","23","15","31","153","300","66","26","1,864","731","19","10","12","14","61","0","0","658","112","4,095"
"นราธิวาส","106","140","529","13,803","2,674","1,010","128","2,268","2,142","206","262","97","302","79","0","2","2,665","1,118","27,531"
"ไม่ทราบ","30,687","79,175","102,924","83,820","145,676","56,179","6,569","88,533","171,263","20,677","18,660","17,140","55,048","5,318","110","590","198,160","108,667","1,189,196"
"รวม","54,718","217,656","172,012","302,814","283,065","104,911","17,845","355,537","356,988","38,118","34,680","30,199","100,888","23,510","216","1,234","398,852","194,367","2,687,610"
