"จังหวัด","โรคสมองเสื่อม","ติดแอลกอฮอล์","ติดยาบ้า (Amphetamine)","ติดสารเสพติดอื่นๆ","โรคจิตเภท","โรคจิตอื่นๆ","โรคอารมณ์สองขั้ว","โรคชึมเศร้า","โรควิตกกังวล","ความบกพร่องทางสติปัญญา","ความบกพร่องทางการเรียนรู้","โรคออทิสติก","โรคสมาธิสั้น","พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง)","ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป)","ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี)","โรคทางจิตเวชอื่นๆ","โรคลมชัก","รวม"
"เพชรบุรี","232","235","1,005","353","1,318","262","93","1,935","977","160","127","195","777","165","2","5","2,790","1,073","10,631"
"ประจวบคีรีขันธ์","376","511","1,052","870","1,775","429","304","2,492","1,570","409","231","320","840","185","2","7","3,254","1,427","14,627"
"นครศรีธรรมราช","1,035","1,024","3,021","754","5,860","3,049","995","5,379","8,923","808","714","487","1,951","504","4","270","8,799","4,178","43,577"
"กระบี่","173","188","661","508","1,670","725","251","1,554","1,562","281","154","242","577","93","1","10","2,511","1,122","11,161"
"พังงา","250","324","650","420","1,180","353","170","1,775","1,401","235","352","99","578","74","18","173","2,025","774","10,077"
"ภูเก็ต","286","254","229","85","810","411","101","1,742","1,403","217","215","472","914","79","4","10","3,087","1,037","10,319"
"สุราษฎร์ธานี","843","1,400","3,054","964","3,793","1,599","79","4,763","6,439","823","869","616","2,238","466","4","35","6,795","3,308","34,780"
"ระนอง","127","163","282","347","603","245","442","1,043","919","119","17","128","261","68","2","2","1,098","527","5,866"
"ชุมพร","263","599","1,103","852","1,653","707","284","1,709","1,777","273","96","200","682","88","3","6","2,076","1,306","12,371"
"สงขลา","1,005","1,153","2,716","3,473","4,295","2,205","127","6,670","7,585","658","769","547","2,505","536","5","30","8,018","3,332","42,297"
"สตูล","121","105","307","386","1,130","441","285","1,646","2,055","97","139","82","331","66","0","5","1,193","735","8,389"
"ตรัง","264","664","925","90","2,146","1,001","292","3,358","3,065","162","80","154","571","246","0","15","2,721","1,772","15,754"
"พัทลุง","313","438","876","603","1,717","1,085","430","2,957","3,679","116","128","103","410","136","2","11","1,866","1,174","14,870"
"ปัตตานี","220","131","515","2,107","2,704","555","353","1,853","2,954","189","137","128","279","53","0","9","1,968","1,036","14,155"
"ยะลา","161","140","449","144","1,824","541","423","1,921","1,976","181","160","164","379","83","1","7","1,436","1,077","9,990"
"นราธิวาส","132","141","477","5,076","2,618","880","83","2,483","2,035","205","207","99","411","104","2","12","1,380","1,125","16,345"
"ไม่ทราบ","10,537","69,435","29,525","127,876","70,200","21,429","5,182","72,259","89,172","5,887","8,705","4,603","15,670","4,680","36","350","105,538","37,869","641,084"
"รวม","51,907","185,045","155,631","204,984","284,273","102,703","34,675","353,267","338,145","35,270","31,512","28,973","93,229","22,099","410","3,799","402,386","189,392","2,328,308"
