"จังหวัด","โรคสมองเสื่อม","ติดแอลกอฮอล์","ติดยาบ้า (Amphetamine)","ติดสารเสพติดอื่นๆ","โรคจิตเภท","โรคจิตอื่นๆ","โรคอารมณ์สองขั้ว","โรคชึมเศร้า","โรควิตกกังวล","ความบกพร่องทางสติปัญญา","ความบกพร่องทางการเรียนรู้","โรคออทิสติก","โรคสมาธิสั้น","พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง)","ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป)","ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี)","โรคทางจิตเวชอื่นๆ","โรคลมชัก","รวม"
"ระยอง","723","1,166","1,315","1,941","2,082","1,477","586","4,001","5,763","223","176","360","853","682","6","14","5,712","3,462","30,542"
"จันทบุรี","668","1,474","874","1,676","2,511","970","720","4,136","3,677","380","448","298","997","745","16","9","5,086","2,542","27,227"
"ตราด","279","950","658","961","996","505","192","1,900","1,487","170","350","131","415","189","2","2","2,146","1,262","12,595"
"ฉะเชิงเทรา","722","1,538","1,572","1,888","2,568","1,128","470","3,976","2,810","535","422","378","1,583","457","5","14","5,531","2,579","28,176"
"ปราจีนบุรี","455","1,062","870","747","1,717","504","200","1,788","1,855","237","103","192","552","291","1","3","3,089","1,639","15,305"
"นครนายก","308","500","790","1,467","1,076","209","147","949","1,236","134","76","127","276","148","1","27","1,692","795","9,958"
"สระแก้ว","520","2,066","1,574","1,385","3,334","1,193","343","2,508","4,307","495","293","468","782","427","7","13","3,611","1,700","25,026"
"นครราชสีมา","3,617","18,088","5,141","17,849","11,907","6,158","1,954","19,230","16,055","1,996","760","1,433","3,856","2,391","14","40","20,654","8,889","140,032"
"บุรีรัมย์","1,644","9,515","4,990","4,167","9,535","3,853","934","10,105","7,480","1,291","638","538","3,355","1,221","6","22","9,393","6,907","75,594"
"สุรินทร์","1,240","6,939","3,334","3,923","7,295","3,435","387","10,453","8,212","594","350","510","2,274","787","9","20","9,253","4,891","63,906"
"ศรีสะเกษ","1,528","9,701","5,010","4,106","8,548","6,122","656","9,134","12,552","919","297","602","2,998","992","7","32","6,679","5,109","74,992"
"อุบลราชธานี","1,684","7,924","6,353","6,860","11,774","4,961","1,021","11,740","17,222","1,414","418","1,217","5,684","600","8","48","16,156","8,598","103,682"
"ยโสธร","410","1,655","1,782","1,427","3,208","1,653","219","3,112","2,729","598","116","188","1,106","175","2","7","2,458","1,804","22,649"
"ชัยภูมิ","1,395","4,890","5,095","4,688","5,663","3,598","552","8,016","7,363","548","371","510","1,620","750","4","33","7,879","3,979","56,954"
"อำนาจเจริญ","345","1,644","1,638","818","2,418","1,113","227","2,721","2,814","248","205","240","1,036","186","6","7","2,685","1,459","19,810"
"บึงกาฬ","251","1,063","2,911","1,100","2,018","826","138","1,362","1,508","122","35","200","363","301","1","41","2,231","1,213","15,684"
"หนองบัวลำภู","399","1,543","1,151","1,164","2,683","1,011","172","2,661","2,453","225","96","149","374","222","0","2","2,165","1,544","18,014"
"ขอนแก่น","2,594","6,871","6,801","6,184","9,256","4,471","933","9,267","14,243","969","707","1,089","2,676","1,184","16","71","13,589","6,340","87,261"
"อุดรธานี","1,321","4,174","5,950","3,486","8,064","2,571","802","5,960","6,998","677","264","664","970","592","5","12","8,511","5,186","56,207"
"เลย","611","2,097","2,734","1,274","3,181","1,613","271","3,134","5,906","356","254","283","752","610","5","16","4,430","2,310","29,837"
"หนองคาย","407","1,268","1,539","1,112","2,194","1,196","230","2,113","2,096","260","117","286","529","259","4","5","3,906","1,584","19,105"
"มหาสารคาม","1,110","5,256","3,763","5,849","3,965","2,903","453","5,107","4,396","411","205","423","1,106","301","24","19","5,247","3,773","44,311"
"ร้อยเอ็ด","808","3,766","3,872","2,632","7,366","3,550","323","5,314","6,334","499","167","571","1,940","509","2","23","7,392","3,917","48,985"
"กาฬสินธุ์","757","2,446","4,145","2,094","5,765","4,648","428","4,488","7,249","372","214","368","1,115","560","11","18","6,687","3,283","44,648"
"สกลนคร","900","3,483","3,666","4,548","6,681","2,312","516","5,493","4,475","476","193","375","985","590","4","130","7,766","3,792","46,385"
"นครพนม","616","2,044","2,380","1,135","5,083","1,889","445","3,108","4,283","500","126","703","1,466","387","3","26","4,036","2,369","30,599"
"มุกดาหาร","293","1,272","1,529","868","2,435","1,265","132","2,788","1,602","242","437","270","1,178","126","12","0","1,632","1,303","17,384"
"เชียงใหม่","2,141","8,049","4,712","8,293","8,254","2,787","2,024","17,840","14,227","1,422","2,532","2,257","6,725","1,034","29","87","15,759","7,104","105,276"
"ลำพูน","936","2,179","2,070","1,217","2,204","603","440","6,286","4,067","411","1,276","455","1,578","379","3","13","6,029","2,436","32,582"
"ลำปาง","1,310","2,983","2,672","1,230","3,279","1,494","629","5,414","7,864","912","1,723","701","3,709","351","4","5","6,761","3,534","44,575"
"อุตรดิตถ์","301","926","1,428","990","1,107","403","140","2,421","1,294","194","233","140","675","186","1","1","2,577","923","13,940"
"แพร่","449","1,833","2,808","1,134","1,861","632","311","2,950","3,283","174","352","341","553","330","2","5","3,628","1,550","22,196"
"น่าน","395","2,589","2,693","1,207","1,611","800","520","3,715","4,980","488","170","324","2,229","347","9","8","4,062","2,129","28,276"
"พะเยา","705","2,364","1,457","1,226","2,503","974","455","5,206","4,122","387","398","484","1,159","459","2","5","7,541","2,243","31,690"
"เชียงราย","1,067","4,961","4,457","6,540","5,447","1,723","744","10,242","7,826","628","549","668","2,307","825","8","19","8,317","4,760","61,088"
"แม่ฮ่องสอน","159","1,065","210","857","1,037","332","160","3,089","2,329","144","174","196","455","254","1","16","2,661","1,022","14,161"
"นครสวรรค์","1,706","2,347","2,223","1,951","4,382","2,433","465","7,192","7,931","618","316","468","1,865","873","4","21","10,561","3,628","48,984"
"อุทัยธานี","633","1,481","2,114","1,170","1,251","731","138","2,303","1,982","309","79","120","415","234","4","3","5,157","1,256","19,380"
"กำแพงเพชร","602","2,836","1,744","2,806","2,243","909","303","3,274","3,056","314","256","267","862","537","1","8","4,883","2,601","27,502"
"ตาก","621","1,835","1,413","1,335","2,543","831","385","3,620","3,286","270","891","391","856","355","8","0","3,301","2,137","24,078"
"สุโขทัย","842","1,427","3,104","1,237","2,388","721","337","4,461","2,807","367","225","252","384","335","0","13","4,165","1,982","25,047"
"พิษณุโลก","1,809","2,228","3,113","1,646","3,508","986","578","5,425","4,685","667","641","571","2,103","541","2","5","9,813","2,827","41,148"
"พิจิตร","1,164","1,064","1,241","698","2,226","1,104","273","3,183","2,822","258","514","240","767","327","0","4","4,262","1,524","21,671"
"เพชรบูรณ์","1,088","2,524","3,497","2,479","4,458","1,872","402","5,417","4,227","799","537","488","1,281","523","3","17","6,940","3,045","39,597"
"ราชบุรี","1,226","1,347","1,455","1,925","2,863","1,397","763","5,932","5,046","679","859","720","1,917","572","37","60","7,625","3,055","37,478"
"กาญจนบุรี","697","1,341","2,077","3,140","2,431","822","362","4,151","3,166","350","357","346","924","725","2","10","9,052","2,614","32,567"
"สุพรรณบุรี","1,245","1,550","3,243","2,533","3,109","1,113","433","5,872","4,088","599","362","370","1,398","729","5","14","7,158","3,356","37,177"
"นครปฐม","1,157","975","1,097","1,860","3,546","1,274","808","4,980","4,722","547","455","612","1,915","552","8","33","6,095","3,140","33,776"
"สมุทรสาคร","500","567","505","523","1,374","588","334","3,024","2,397","362","535","483","1,389","227","1","48","2,792","1,080","16,729"
"สมุทรสงคราม","208","108","185","1,522","691","209","106","750","859","59","76","133","378","94","2","5","910","480","6,775"
"เพชรบุรี","356","449","1,309","616","2,101","505","261","3,066","1,839","230","202","278","1,024","462","11","6","3,030","1,697","17,442"
"ประจวบคีรีขันธ์","622","711","1,676","1,415","2,613","597","422","3,355","2,597","560","244","475","1,183","407","3","3","2,662","2,100","21,645"
"นครศรีธรรมราช","1,800","1,559","3,994","4,812","8,045","4,719","1,647","8,657","12,585","963","930","711","2,837","1,047","3","33","13,684","6,073","74,099"
"กระบี่","297","324","1,021","1,090","2,407","1,050","350","2,227","2,543","374","237","392","812","256","2","6","1,910","1,703","17,001"
"พังงา","366","447","1,079","1,043","1,531","567","257","2,342","2,025","221","327","139","625","157","11","4","2,574","1,135","14,850"
"ภูเก็ต","526","470","402","1,387","1,164","740","711","2,439","2,591","295","281","740","1,336","210","9","7","3,248","1,662","18,218"
"สุราษฎร์ธานี","1,343","2,227","4,496","5,404","5,763","2,650","942","7,726","9,815","1,049","819","912","3,136","1,171","9","21","10,514","5,137","63,134"
"ระนอง","155","216","416","398","706","316","135","1,645","1,185","133","27","170","306","130","2","0","1,219","648","7,807"
"ชุมพร","422","675","1,914","1,729","2,289","1,128","449","2,793","2,999","376","153","257","818","295","3","4","3,781","1,997","22,082"
"สงขลา","1,728","1,812","3,050","5,954","6,396","3,518","1,813","10,544","12,824","1,177","1,428","1,239","4,199","1,864","16","17","12,292","5,892","75,763"
"สตูล","309","156","523","3,776","1,524","666","324","2,551","3,318","195","251","197","540","151","0","6","2,544","1,037","18,068"
"ตรัง","538","1,303","1,440","3,356","3,098","1,660","619","4,924","5,154","226","139","249","1,042","626","0","7","2,676","2,582","29,639"
"พัทลุง","585","645","1,344","1,231","2,419","1,517","781","4,277","5,613","174","413","183","742","327","3","10","4,263","1,719","26,246"
"ปัตตานี","353","409","632","2,785","3,835","799","485","2,843","5,015","344","417","294","577","144","0","4","3,151","1,547","23,634"
"ยะลา","270","279","494","1,281","2,317","811","413","3,269","4,064","322","259","326","766","308","0","29","3,346","1,603","20,157"
"นราธิวาส","259","226","659","6,472","3,605","1,288","283","4,084","4,513","357","360","322","712","249","2","27","3,779","1,881","29,078"
"ไม่ทราบ","1,075","3,816","2,475","4,998","6,911","2,549","619","6,062","10,214","1,227","677","763","1,699","794","6","18","13,430","4,199","61,532"
"รวม","71,445","185,163","173,117","199,570","299,771","128,659","44,195","399,645","408,249","43,243","34,390","43,426","121,245","41,496","553","1,690","485,531","222,940","2,904,328"
